Title,Author,Rating,Type
Gates of Fire,Steven Pressfield,"4.40 avg rating — 41,219 ratings",(Goodreads Author)
"Finnikin of the Rock (Lumatere Chronicles, #1)",Melina Marchetta,"3.91 avg rating — 44,204 ratings",(Goodreads Author)
"Silk Road (Epic Adventure, #1)",Colin Falconer,"4.27 avg rating — 9,344 ratings",(Goodreads Author)
The Seventh Spark: Volume One – Knights of the Trinity,J.B. Lion,"4.32 avg rating — 3,651 ratings",(Goodreads Author)
"Captive Prince (Captive Prince, #1)",C.S. Pacat,"3.79 avg rating — 111,831 ratings",(Goodreads Author)
"Seraphina (Seraphina, #1)",Rachel Hartman,"3.94 avg rating — 88,350 ratings",(Goodreads Author)
The Strength In Our Scars,Bianca Sparacino,"4.05 avg rating — 13,271 ratings","4.05 avg rating — 13,271 ratings"
"Xenocide (Ender's Saga, #3)",Orson Scott Card,"3.82 avg rating — 162,438 ratings","3.82 avg rating — 162,438 ratings"
"Flash Point (Jason Trapp, #3)",Jack     Slater,"4.51 avg rating — 8,601 ratings",(Goodreads Author)
"A Storm of Swords: Steel and Snow (A Song of Ice and Fire, #3.1)",George R.R. Martin,"4.47 avg rating — 87,048 ratings","4.47 avg rating — 87,048 ratings"
Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,"3.96 avg rating — 610,748 ratings","3.96 avg rating — 610,748 ratings"
The Electric Kool-Aid Acid Test,Tom Wolfe,"3.92 avg rating — 77,732 ratings","3.92 avg rating — 77,732 ratings"
The 48 Laws of Power,Robert Greene,"4.11 avg rating — 201,861 ratings",(Goodreads Author)
A Bird Without Wings,Roberta Pearce,4.22 avg rating — 198 ratings,(Goodreads Author)
"By the Unholy Hand (Executioner Knights, #1)",Kathryn Le Veque,"4.41 avg rating — 1,648 ratings",(Goodreads Author)
"Pure (Covenant, #2)",Jennifer L. Armentrout,"4.25 avg rating — 81,831 ratings",(Goodreads Author)
Sphere,Michael Crichton,"3.83 avg rating — 193,215 ratings","3.83 avg rating — 193,215 ratings"
Ghost Story,Peter Straub,"3.92 avg rating — 81,208 ratings","3.92 avg rating — 81,208 ratings"
Winter's Mourn (Winter Black #1),Mary Stone,"4.30 avg rating — 29,394 ratings",(Goodreads Author)
"The Black Echo (Harry Bosch, #1; Harry Bosch Universe, #1)",Michael    Connelly,"4.14 avg rating — 209,052 ratings",(Goodreads Author)
"The Gentleman's Guide to Vice and Virtue (Montague Siblings, #1)",Mackenzi Lee,"4.03 avg rating — 142,819 ratings",(Goodreads Author)
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Brené Brown,"4.29 avg rating — 233,152 ratings",(Goodreads Author)
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,"3.87 avg rating — 1,299,739 ratings",(Goodreads Author)
"Eon: Dragoneye Reborn (Eon, #1)",Alison Goodman,"3.96 avg rating — 62,334 ratings",(Goodreads Author)
Sidewinder (Rachel Hatch #11),L.T. Ryan,"4.51 avg rating — 6,168 ratings",(Goodreads Author)
"The Black Jewels Trilogy: Daughter of the Blood, Heir to the Shadows, Queen of the Darkness (The Black Jewels, #1-3)",Anne Bishop,"4.39 avg rating — 14,133 ratings","4.39 avg rating — 14,133 ratings"
Starship Sakira (Delphi in Space #1),Bob Blanton,"4.22 avg rating — 4,546 ratings",(Goodreads Author)
"Saphirblau (Edelstein-Trilogie, #2)",Kerstin Gier,"4.18 avg rating — 119,492 ratings","4.18 avg rating — 119,492 ratings"
"Crossroads and the Dominion of Four (Crossroads, #2)",C. Toni Graham,"4.30 avg rating — 3,443 ratings",(Goodreads Author)
After Forever Ends,Melodie Ramone,"4.06 avg rating — 1,535 ratings",(Goodreads Author)
"The Black Order (Tom Clancy's Op-Center, #20)",Jeff Rovin,"3.90 avg rating — 1,092 ratings",(Goodreads Author)
The Companions,Cade Mengler,4.38 avg rating — 810 ratings,(Goodreads Author)
"The Long Game (The Far Reaches, #4)",Ann Leckie,"3.62 avg rating — 7,290 ratings",(Goodreads Author)
The Brothers Lionheart,Astrid Lindgren,"4.35 avg rating — 40,232 ratings","4.35 avg rating — 40,232 ratings"
"The Human Obsession (Manufactured Identity, #3)",Heath Sommer,4.18 avg rating — 196 ratings,(Goodreads Author)
Dead Poets Society,N.H. Kleinbaum,"4.17 avg rating — 138,457 ratings","4.17 avg rating — 138,457 ratings"
Our Town,Thornton Wilder,"3.73 avg rating — 57,456 ratings","3.73 avg rating — 57,456 ratings"
"Wild Magic (Immortals, #1)",Tamora Pierce,"4.31 avg rating — 81,864 ratings",(Goodreads Author)
The Egyptian,Mika Waltari,"4.22 avg rating — 26,485 ratings","4.22 avg rating — 26,485 ratings"
Dune Messiah (Dune #2),Frank Herbert,"3.89 avg rating — 367,740 ratings","3.89 avg rating — 367,740 ratings"
"The Lost World (Jurassic Park, #2)",Michael Crichton,"3.87 avg rating — 169,091 ratings","3.87 avg rating — 169,091 ratings"
"A Memory of Light (The Wheel of Time, #14)",Robert Jordan,"4.58 avg rating — 154,600 ratings","4.58 avg rating — 154,600 ratings"
"The Return of the King (The Lord of the Rings, #3)",J.R.R. Tolkien,"4.57 avg rating — 986,843 ratings","4.57 avg rating — 986,843 ratings"
Blood Debt (Rogue Warrior #2),Ian Loome,"4.42 avg rating — 3,147 ratings",(Goodreads Author)
O Pioneers!,Willa Cather,"3.90 avg rating — 56,550 ratings","3.90 avg rating — 56,550 ratings"
"The Rise of Nine (Lorien Legacies, #3)",Pittacus Lore,"4.17 avg rating — 110,898 ratings","4.17 avg rating — 110,898 ratings"
We Are the Ants,Shaun David Hutchinson,"4.11 avg rating — 52,408 ratings",(Goodreads Author)
Oranges Are Not the Only Fruit,Jeanette Winterson,"3.73 avg rating — 87,293 ratings","3.73 avg rating — 87,293 ratings"
Bag of Bones,Stephen        King,"3.92 avg rating — 206,564 ratings",(Goodreads Author)
The Mayan Legacy,Jody    Summers,4.43 avg rating — 700 ratings,(Goodreads Author)
"The Coming Wave: Technology, Power, and the Twenty-first Century's Greatest Dilemma",Mustafa Suleyman,"3.84 avg rating — 10,671 ratings","3.84 avg rating — 10,671 ratings"
Faust,Johann Wolfgang von Goethe,"3.86 avg rating — 129,824 ratings","3.86 avg rating — 129,824 ratings"
"We Hunt the Flame (Sands of Arawiya, #1)",Hafsah Faizal,"3.87 avg rating — 103,776 ratings",(Goodreads Author)
"Splintered (Splintered, #1)",A.G. Howard,"3.90 avg rating — 66,300 ratings",(Goodreads Author)
By the River Piedra I Sat Down and Wept,Paulo Coelho,"3.57 avg rating — 106,621 ratings",(Goodreads Author)
"Chain Reaction (Perfect Chemistry, #3)",Simone Elkeles,"4.09 avg rating — 64,614 ratings",(Goodreads Author)
A Tale for the Time Being,Ruth Ozeki,"4.06 avg rating — 129,643 ratings",(Goodreads Author)
"Kings Rising (Captive Prince, #3)",C.S. Pacat,"4.43 avg rating — 73,585 ratings",(Goodreads Author)
Recursion,Blake Crouch,"4.17 avg rating — 279,655 ratings",(Goodreads Author)
Lightning,Dean Koontz,"4.09 avg rating — 64,254 ratings",(Goodreads Author)
"The Space Between Worlds (The Space Between Worlds, #1)",Micaiah Johnson,"3.93 avg rating — 42,485 ratings","3.93 avg rating — 42,485 ratings"
"Winesburg, Ohio",Sherwood Anderson,"3.84 avg rating — 36,021 ratings","3.84 avg rating — 36,021 ratings"
Unmasking AI: My Mission to Protect What Is Human in a World of Machines,Joy Buolamwini,"4.14 avg rating — 1,368 ratings","4.14 avg rating — 1,368 ratings"
"Tangled (Tangled, #1)",Emma Chase,"4.03 avg rating — 120,056 ratings",(Goodreads Author)
Why We Sleep: Unlocking the Power of Sleep and Dreams,Matthew Walker,"4.38 avg rating — 210,621 ratings","4.38 avg rating — 210,621 ratings"
House Rules,Jodi Picoult,"4.04 avg rating — 182,959 ratings",(Goodreads Author)
The Autobiography of Malcolm X,Malcolm X,"4.37 avg rating — 281,714 ratings","4.37 avg rating — 281,714 ratings"
Black Eagle (Jason Trapp #6),Jack     Slater,"4.50 avg rating — 5,059 ratings",(Goodreads Author)
You've Reached Sam (You've Reached Sam #1),Dustin Thao,"3.61 avg rating — 158,611 ratings",(Goodreads Author)
"The Raven King (The Raven Cycle, #4)",Maggie Stiefvater,"4.25 avg rating — 154,462 ratings",(Goodreads Author)
The Lottery and Other Stories,Shirley Jackson,"4.02 avg rating — 81,635 ratings","4.02 avg rating — 81,635 ratings"
"The Long Dark Tea-Time of the Soul (Dirk Gently, #2)",Douglas Adams,"4.04 avg rating — 88,210 ratings","4.04 avg rating — 88,210 ratings"
Moon Palace,Paul Auster,"3.98 avg rating — 27,922 ratings","3.98 avg rating — 27,922 ratings"
"The Last Sentinel (Clayton White, #2)",Simon Gervais,"4.34 avg rating — 5,232 ratings",(Goodreads Author)
"Fluency (Confluence, #1)",Jennifer Foehner Wells,"3.83 avg rating — 11,430 ratings",(Goodreads Author)
"Faith of the Fallen (Sword of Truth, #6)",Terry Goodkind,"4.11 avg rating — 73,685 ratings","4.11 avg rating — 73,685 ratings"
Our Mutual Friend,Charles Dickens,"4.09 avg rating — 30,683 ratings","4.09 avg rating — 30,683 ratings"
Tales of the City (Tales of the City #1),Armistead Maupin,"really liked it 4.00 avg rating — 46,370 ratings","really liked it 4.00 avg rating — 46,370 ratings"
"Slow Time Between the Stars (The Far Reaches, #6)",John Scalzi,"4.17 avg rating — 12,228 ratings",(Goodreads Author)
The Mountains Sing,Nguyễn Phan Quế Mai,"4.32 avg rating — 54,753 ratings",(Goodreads Author)
The Richest Man in Babylon,George S. Clason,"4.23 avg rating — 229,473 ratings","4.23 avg rating — 229,473 ratings"
"Existence (Existence, #1)",Abbi Glines,"3.92 avg rating — 62,387 ratings",(Goodreads Author)
"Enna Burning (The Books of Bayern, #2)",Shannon Hale,"really liked it 4.00 avg rating — 44,430 ratings",(Goodreads Author)
The Sun and Her Flowers,Rupi Kaur,"4.08 avg rating — 361,730 ratings",(Goodreads Author)
"Hard Knocks (SC Marva Collins, #3)",Nathan Lowell,"4.52 avg rating — 2,445 ratings",(Goodreads Author)
"Alas, Babylon",Pat Frank,"4.09 avg rating — 47,521 ratings","4.09 avg rating — 47,521 ratings"
"The City of Dreaming Books (Zamonia, #4)",Walter Moers,"4.39 avg rating — 23,119 ratings","4.39 avg rating — 23,119 ratings"
"Deity (Covenant, #3)",Jennifer L. Armentrout,"4.31 avg rating — 73,437 ratings",(Goodreads Author)
"Blood Red Road (Dust Lands, #1)",Moira Young,"3.91 avg rating — 62,061 ratings",(Goodreads Author)
Lore,Alexandra Bracken,"3.75 avg rating — 102,284 ratings",(Goodreads Author)
"Mr. Mercedes (Bill Hodges Trilogy, #1)",Stephen        King,"4.03 avg rating — 353,062 ratings",(Goodreads Author)
Don't Be In Love,Liana Cincotti,"3.72 avg rating — 6,236 ratings",(Goodreads Author)
The Dragon Queen (The Dragon #2),William  Andrews,"4.26 avg rating — 5,451 ratings","4.26 avg rating — 5,451 ratings"
"Reached (Matched, #3)",Ally Condie,"3.54 avg rating — 174,136 ratings",(Goodreads Author)
"Beyond the Shadows (Night Angel, #3)",Brent Weeks,"4.27 avg rating — 102,012 ratings",(Goodreads Author)
"Gideon the Ninth (The Locked Tomb, #1)",Tamsyn Muir,"4.20 avg rating — 165,256 ratings",(Goodreads Author)
"Witches Abroad (Discworld, #12; Witches, #3)",Terry Pratchett,"4.25 avg rating — 94,652 ratings","4.25 avg rating — 94,652 ratings"
"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Bessel van der Kolk,"4.37 avg rating — 242,292 ratings","4.37 avg rating — 242,292 ratings"
"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",Christopher McDougall,"4.31 avg rating — 226,051 ratings","4.31 avg rating — 226,051 ratings"
"Nightfall (The Vampire Diaries: The Return, #1)",L.J. Smith,"3.55 avg rating — 53,933 ratings","3.55 avg rating — 53,933 ratings"
"Lies, Inc.",Philip K. Dick,"3.20 avg rating — 3,472 ratings","3.20 avg rating — 3,472 ratings"
NOS4A2,Joe Hill,"4.08 avg rating — 138,195 ratings",(Goodreads Author)
El túnel,Ernesto Sabato,"4.02 avg rating — 86,175 ratings","4.02 avg rating — 86,175 ratings"
"Dark Flame (The Immortals, #4)",Alyson Noel,"3.73 avg rating — 64,881 ratings",(Goodreads Author)
Housekeeping,Marilynne Robinson,"3.81 avg rating — 56,579 ratings","3.81 avg rating — 56,579 ratings"
The Magic of Ordinary Days,Ann Howard Creel,"3.90 avg rating — 10,967 ratings",(Goodreads Author)
"Wolf's Head (The Forest Lord, #1)",Steven A. McKay,"4.04 avg rating — 2,614 ratings",(Goodreads Author)
Dust Child,Nguyễn Phan Quế Mai,"4.23 avg rating — 16,370 ratings",(Goodreads Author)
Dreamland,Sarah Dessen,"3.91 avg rating — 83,348 ratings",(Goodreads Author)
Batman: The Killing Joke,Alan             Moore,"4.37 avg rating — 233,646 ratings",(Goodreads Author)
"A Gathering of Shadows (Shades of Magic, #2)",Victoria E. Schwab,"4.20 avg rating — 220,688 ratings",(Goodreads Author)
Homage to Catalonia,George Orwell,"4.09 avg rating — 66,890 ratings","4.09 avg rating — 66,890 ratings"
"Dance with the Devil (Dark-Hunter, #3)",Sherrilyn Kenyon,"4.37 avg rating — 66,493 ratings",(Goodreads Author)
Dragon Seed,Pearl S. Buck,"4.10 avg rating — 3,464 ratings","4.10 avg rating — 3,464 ratings"
Team of Rivals: The Political Genius of Abraham Lincoln,Doris Kearns Goodwin,"4.29 avg rating — 194,220 ratings","4.29 avg rating — 194,220 ratings"
"Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future",Ashlee Vance,"4.14 avg rating — 428,590 ratings",(Goodreads Author)
"Hunting Adeline (Cat and Mouse, #2)",H.D. Carlton,"4.09 avg rating — 504,881 ratings",(Goodreads Author)
The Last Dying Light,William Havelock,"4.39 avg rating — 2,017 ratings",(Goodreads Author)
"Shadowland (The Mediator, #1)",Jenny Carroll,"4.04 avg rating — 70,645 ratings","4.04 avg rating — 70,645 ratings"
"First Grave on the Right (Charley Davidson, #1)",Darynda Jones,"4.03 avg rating — 90,535 ratings",(Goodreads Author)
"The Numbing (Whiteout, #3)",Flint Maxwell,"4.15 avg rating — 1,895 ratings",(Goodreads Author)
"Written in My Own Heart's Blood (Outlander, #8)",Diana Gabaldon,"4.55 avg rating — 135,886 ratings",(Goodreads Author)
Last Vote (Emma Last FBI Mystery #10),Mary Stone,"4.60 avg rating — 2,182 ratings",(Goodreads Author)
Os Maias,Eça de Queirós,"3.99 avg rating — 26,072 ratings","3.99 avg rating — 26,072 ratings"
Night Film,Marisha Pessl,"3.78 avg rating — 93,922 ratings",(Goodreads Author)
"The Fall of Hyperion (Hyperion Cantos, #2)",Dan Simmons,"4.24 avg rating — 138,884 ratings","4.24 avg rating — 138,884 ratings"
"The ​Crown of Gilded Bones (Blood and Ash, #3)",Jennifer L. Armentrout,"4.16 avg rating — 398,377 ratings",(Goodreads Author)
Narrative of the Life of Frederick Douglass,Frederick Douglass,"4.12 avg rating — 130,740 ratings","4.12 avg rating — 130,740 ratings"
The Frozen River,Ariel Lawhon,"4.41 avg rating — 338,638 ratings",(Goodreads Author)
The Call of Cthulhu and Other Weird Stories,H.P. Lovecraft,"4.03 avg rating — 114,260 ratings","4.03 avg rating — 114,260 ratings"
"The Book of the Dead (Pendergast, #7; Diogenes, #3)",Douglas Preston,"4.17 avg rating — 38,773 ratings",(Goodreads Author)
Little Fires Everywhere,Celeste Ng,"4.07 avg rating — 1,262,315 ratings",(Goodreads Author)
The Book of Why: The New Science of Cause and Effect,Judea Pearl,"3.94 avg rating — 6,283 ratings","3.94 avg rating — 6,283 ratings"
The Gifts of Imperfection,Brené Brown,"4.25 avg rating — 211,369 ratings",(Goodreads Author)
What We Talk About When We Talk About Love,Raymond Carver,"4.02 avg rating — 73,390 ratings","4.02 avg rating — 73,390 ratings"
A Visit from the Goon Squad,Jennifer Egan,"3.70 avg rating — 241,061 ratings",(Goodreads Author)
Winter of the World (The Century Trilogy #2),Ken Follett,"4.38 avg rating — 170,865 ratings",(Goodreads Author)
عزازيل,Youssef Ziedan,"4.03 avg rating — 51,701 ratings","4.03 avg rating — 51,701 ratings"
"The Magicians (The Magicians, #1)",Lev Grossman,"3.53 avg rating — 271,776 ratings",(Goodreads Author)
"Bumi Manusia (Tetralogi Buru, #1)",Pramoedya Ananta Toer,"4.42 avg rating — 21,278 ratings","4.42 avg rating — 21,278 ratings"
"In the Woods (Dublin Murder Squad, #1)",Tana French,"3.79 avg rating — 423,095 ratings",(Goodreads Author)
"Bird Box (Bird Box, #1)",Josh Malerman,"4.05 avg rating — 202,575 ratings",(Goodreads Author)
No Exit and Three Other Plays,Jean-Paul Sartre,"4.08 avg rating — 29,677 ratings","4.08 avg rating — 29,677 ratings"
Rage of Angels,Sidney Sheldon,"3.97 avg rating — 40,041 ratings","3.97 avg rating — 40,041 ratings"
"The Coincidence of Callie & Kayden (The Coincidence, #1)",Jessica Sorensen,"4.16 avg rating — 116,916 ratings",(Goodreads Author)
The House at Riverton,Kate Morton,"3.95 avg rating — 122,553 ratings",(Goodreads Author)
"The Road Less Traveled: A New Psychology of Love, Traditional Values and Spiritual Growth",M. Scott Peck,"4.08 avg rating — 100,732 ratings","4.08 avg rating — 100,732 ratings"
Chess Story,Stefan Zweig,"4.27 avg rating — 152,634 ratings","4.27 avg rating — 152,634 ratings"
Every Last Word,Tamara Ireland Stone,"4.21 avg rating — 118,857 ratings",(Goodreads Author)
Sadie,Courtney Summers,"4.04 avg rating — 126,203 ratings",(Goodreads Author)
"Lord of Chaos (The Wheel of Time, #6)",Robert Jordan,"4.19 avg rating — 187,703 ratings","4.19 avg rating — 187,703 ratings"
"Ship of Magic (Liveship Traders, #1)",Robin Hobb,"4.22 avg rating — 95,123 ratings",(Goodreads Author)
The Tao of Pooh,Benjamin Hoff,"4.01 avg rating — 126,640 ratings","4.01 avg rating — 126,640 ratings"
Dance Dance Dance,Haruki Murakami,"4.04 avg rating — 95,680 ratings","4.04 avg rating — 95,680 ratings"
Common Sense,Thomas Paine,"really liked it 4.00 avg rating — 38,082 ratings","really liked it 4.00 avg rating — 38,082 ratings"
"One of Us Is Next (One of Us Is Lying, #2)",Karen M. McManus,"3.90 avg rating — 266,140 ratings",(Goodreads Author)
"Steelheart (The Reckoners, #1)",Brandon Sanderson,"4.14 avg rating — 190,260 ratings",(Goodreads Author)
"The Forbidden Game (The Forbidden Game, #1-3)",L.J. Smith,"4.19 avg rating — 22,494 ratings","4.19 avg rating — 22,494 ratings"
The Anomaly,Hervé Le Tellier,"3.80 avg rating — 62,131 ratings","3.80 avg rating — 62,131 ratings"
